video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=Onyk7guvHK8&list=RDOnyk7guvHK8&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/channel/UC5aqukzSeAj9etVpQpct88A,Taboo,Stand Up / Stand N Rock #NoDAPL (Official Video),5.3M,9 years,UPDATE - The U.S. Army Corps of Engineers has denied the easement for the Dakota Access Pipeline route near the Standing ...,2026-01-20 16:29:41.925108
/watch?v=tOgMWlNQZ4w&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@PennArtsSciences,Penn Arts & Sciences,The Stand at Standing Rock,4.6K,8 years,"Beginning in April 2016, members of the Standing Rock Sioux Tribe and representatives from hundreds of tribal nations gathered ...",2026-01-20 16:29:41.926554
/watch?v=E6oVN_mWLpo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@scandinaviahouse,Scandinavia House,End of the Line — The Women of Standing Rock Trailer,6.2K,2 years,"On April 14 at Scandinavia House, see acclaimed documentary filmmaker Shannon Kring's ""The End of the Line: The Women of ...",2026-01-20 16:29:41.927899
/watch?v=Czd-VP6dlxA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@bullfrogfilms,Bullfrog Films,"Bullfrog Films presents...AWAKE, A DREAM FROM STANDING ROCK",32K,8 years,"A film by Josh Fox, James Spione, and Myron Dewey Available for educational use from Bullfrog Films: ...",2026-01-20 16:29:41.930134
/watch?v=2uYiHiJTN6Y&list=RD2uYiHiJTN6Y&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/channel/UCr-Od38IMpigVVgRYZ42FqA,I AM THEY,I AM THEY - My Feet Are on the Rock (Official Music Video),4.7M,7 years,"Download or Stream ""My Feet Are On The Rock"" now! iTunes: http://smarturl.it/TrialAndTriumph?",2026-01-20 16:29:41.931988
/watch?v=IEassG1Q1bc&list=RDIEassG1Q1bc&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/@SuperLegendadorPTBR,Super Legendador,Ozark Mountain Daredevils - Standing On The Rock (Legendado em Português),28K,7 years,"Ozark Mountain Daredevils é uma banda de rock/country americana formada em no ano de 1972 em Springfield, Missouri, ...",2026-01-20 16:29:41.934338
/watch?v=GyVBooq7ht4&list=RDGyVBooq7ht4&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/channel/UCLtNLP4wxWCVUv8bSgIfNvw,Forrest Frank,Forrest Frank/Crowder - THE ROCK (Official Audio),956K,4 months,"Hope this one blesses y'all! Performed/Written by: Forrest Frank & Crowder Produced: Forrest Frank Mix: Jacob ""Biz"" Morris.",2026-01-20 16:29:41.935921
/watch?v=J1yD2J8vHAk&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@VICE,VICE,What Really Happened at Standing Rock | I Was There,1.1M,5 years,Correction: An archival source was named incorrectly in the credits of this video. The footage was provided by Digital Smoke ...,2026-01-20 16:29:41.937814
/watch?v=7Erj_sSe2hg&list=RD7Erj_sSe2hg&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/@BagOnly,BagOnly,Forrest Frank & Crowder - The Rock (Lyrics),902K,4 months,Forrest Frank & Crowder - The Rock (Lyrics) Subscribe and turn on notifications to stay updated with new uploads. Please ...,2026-01-20 16:29:41.939136
/watch?v=yb7e-bDEEYY&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@SmithsonianNMAI,SmithsonianNMAI,Standing Rock Dancers,14K,13 years,Standing Rock Indian Reservation straddles the border between North and South Dakota. Their youth program reaches over 500 ...,2026-01-20 16:29:41.940315
/watch?v=1Rz_TkpysKk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ABCNews,ABC News,The Seventh Generation: Youth at the Heart of the Standing Rock Protests | ABC News,131K,8 years,"For months, the International Indigenous Youth Council has helped steer the Standing Rock Sioux Tribe's opposition to the ...",2026-01-20 16:29:41.942042
/watch?v=DwRArsUhCmQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCNews,CBC News,Standing Rock Sioux Tribe urges calm as National Guard called in before pipeline ruling,21K,9 years,The leader of the Standing Rock Sioux Tribe in North Dakota is urging calm ahead of a highly anticipated court ruling that could ...,2026-01-20 16:29:41.943825
/watch?v=onXjeozRqbA&list=RDonXjeozRqbA&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/@EeZeeGlobal,EeZee Global,Judikay - Solid Rock (Live) {Official Video},634K,1 year,"EeZee Global presents ""Solid Rock (Live)"" by Judikay,. Video directed by Gr33nix. Shot and Recorded Live at EeZee Global ...",2026-01-20 16:29:41.945216
/watch?v=BqXlLudFQa0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ABCNews,ABC News,"The end of the Standing Rock standoff between authorities, protestors",103K,8 years,Protests had been going for months in an attempt to stop the Dakota Access Pipeline from being built next the Sioux tribe's sacred ...,2026-01-20 16:29:41.946879
/watch?v=4FDuqYld8C8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@dividedfilms2413,Divided Films,Mni Wiconi: The Stand at Standing Rock,331K,9 years,Mni Wiconi features water protectors from the Standing Rock Sioux Tribe and allies trying to stop the 1100-mile Dakota Access ...,2026-01-20 16:29:41.948143
/watch?v=wD3-6JIUF7M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TED,TED,The Standing Rock resistance and our fight for indigenous rights | Tara Houska,238K,7 years,"Still invisible and often an afterthought, indigenous peoples are uniting to protect the world's water, lands and history -- while ...",2026-01-20 16:29:41.949301
/watch?v=9-EQ7BuhQq4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@PBSNewsHour,PBS NewsHour,"Tribes across North America converge at Standing Rock, hoping to be heard",133K,9 years,Protestors of the North Dakota pipeline celebrated after the Department of Justice temporarily halted the project in federal ...,2026-01-20 16:29:41.950861
/watch?v=yGmwgi1yblQ&list=RDyGmwgi1yblQ&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAdIHCQlPCgGHKiGM7w%3D%3D,/channel/UCHAyiHSDajCsHBGtdaPA95g,Raye Zaragoza,Driving to Standing Rock - Raye Zaragoza (Official Music Video),21K,7 years,"""Driving to Standing Rock"" by Raye Zaragoza. Listen to the album ""Fight For You"" here: https://ffm.to/fightforyourayezaragoza.oyd ...",2026-01-20 16:29:41.952150
/watch?v=ply14OGxq5Q&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CrayNovick,Cray Novick,Water Protectors -- Standing Rock 2022,22K,5 years,"Mni Wconi -- water is life. This film is a rallying cry for us all to be called as water protectors, as protectors of life on planet earth.",2026-01-20 16:29:41.953857
/watch?v=QFjnudxcfv0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Vogue,Vogue,Stories From Standing Rock | Vogue,79K,9 years,"In North Dakota, thousands of Native Americans and allies have joined the Standing Rock Sioux Tribe in a fight to stop the Dakota ...",2026-01-20 16:29:48.702974
/watch?v=3oHbYtql87I&list=RD3oHbYtql87I&start_radio=1&pp=ygUNc3RhbmRpbmcgcm9ja6AHAQ%3D%3D,/@seanfeucht,Sean Feucht,Standing on the Rock - Sean Feucht - Let Us Worship - Colorado,13K,3 years,FULL ALBUM RELEASING SEPTEMBER 13TH!! Follow Sean: https://www.facebook.com/sean.feucht ...,2026-01-20 16:29:48.704346
/watch?v=3FJx8q430Y0&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@telesurenglish,TeleSUR English,Standing Rock: A New Era for Native American Movements,3.4K,9 years,Does Standing Rock mark the beginning of a new era for Native American movements? Abby Martin and one of Wounded Knee ...,2026-01-20 16:29:48.705545
/watch?v=Y7dMx0ZiNb0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@StandingRockPoloTeam,Standing Rock Polo Team,Standing Rock - Foundation,No,55 minutes,"A memorable visit to South Dakota, and incredible journey to visit the Native Americans. Witnessing tragic history but also pride ...",2026-01-20 16:29:48.707418
/watch?v=5Vf7zk38mi4&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CNN,CNN,Police have their say about Standing Rock,4.1K,9 years,Police at the Dakota Access Pipeline protests give their side of the story about confrontations with protestors to CNN's Sara ...,2026-01-20 16:29:48.709175
/watch?v=X2obKg3oXXc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBSMornings,CBS Mornings,Standing Rock Sioux chairman urges protesters to leave,1.7K,9 years,A transition spokesman said President-elect Donald Trump will review the Dakota Access Pipeline when he takes office. The Army ...,2026-01-20 16:29:48.713611
/watch?v=AeUIyI83b7g&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@LauraFlandersAndFriends,Laura Flanders & Friends,RISE With Standing Rock,37K,9 years,"There's a revolution happening in Standing Rock, at the Očhéthi Šakówiŋ camp, and across the country. Over 200 indigenous ...",2026-01-20 16:29:48.714886
/watch?v=rDzFZ4BTx9U&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@ndgnf,North Dakota Game and Fish Department,Standing Rock Elk - NDGNF,4.6K,9 years,"The Standing Rock Sioux Tribe, UND and the North Dakota Game and Fish Department are partnering in a study of the Sioux ...",2026-01-20 16:29:48.716387
/watch?v=Sb9QF1Uu4n8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@shocksanddocs,SHOCKS & DOCS,BEYOND STANDING ROCK | FULL DOCUMENTARY | SHOCKS AND DOCS,2K,9 months,BEYOND STANDING ROCK | FULL DOCUMENTARY | SHOCKS AND DOCS Beyond Standing Rock shines a spotlight on tribal ...,2026-01-20 16:29:48.717790
/watch?v=TVN8cCMlxOE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Standing Rock Sioux Tribe Takes Pipeline Fight To U.N. | NBC News,5.4K,9 years,Standing Rock Chairman Dave Archambault II told the U.N. Human Rights Council that the controversial Dakota Access Pipeline ...,2026-01-20 16:29:48.719362
/watch?v=Yb9HHtye1Tk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@reveal,Reveal,One Year at Standing Rock,49K,8 years,Jasilyn Charger was one of the first people to set up camp at the Standing Rock Sioux Reservation in April 2016. Along with youth ...,2026-01-20 16:29:48.720760
/watch?v=4d6qwzO0C4k&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@FoxNews,Fox News,Veterans to stand with Standing Rock protesters,38K,9 years,"Hundreds of veterans of the US Military are deploying to the Standing Rock Indian Reservation in North Dakota, joining protests ...",2026-01-20 16:29:48.722541
/watch?v=XvhEBZVi8ew&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Arrests At Standing Rock As Protesters’ Eviction Deadline Passes | NBC Nightly News,2.2K,8 years,The “water protectors” protesting the Dakota Access pipeline were ordered by law enforcement to leave their Standing Rock Sioux ...,2026-01-20 16:29:48.723920
/watch?v=RX-3jdXa46U&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@aljazeeraenglish,Al Jazeera English,Standing Rock and the Battle Beyond | Fault Lines,55K,9 years,"For months, Native Americans have been protesting against the Dakota Access oil pipeline, a multibillion-dollar construction ...",2026-01-20 16:29:48.726182
