video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=415dMVXcsro&pp=ygULZmFpcnkgY3JlZWs%3D,/@CBCNews,CBC News,Fairy Creek: Inside the largest protest in Canadian history | About That,14K,2 years,"Two years after protests against old growth logging in the Fairy Creek watershed in British Columbia erupted, consequences are ...",2026-01-20 17:03:59.340175
/watch?v=C-DitozPh98&pp=ygULZmFpcnkgY3JlZWs%3D,/@JustInCanadaJusteauCanada,Just In Canada / Juste au Canada,Fairy Creek: The Last Stand (Documentary Film),22K,4 years,"Fairy Creek: The Last Stand (Documentary Film) In less than 150 years, 97.3% of British Columbia's old growth forests have been ...",2026-01-20 17:03:59.342001
/watch?v=bXGv2zWakrU&pp=ygULZmFpcnkgY3JlZWs%3D,/@clayoquotwren,BC Eco News,Upper Fairy Creek Blockade,4.6K,5 years,Donate or Contact to join or support via laststandforforests.com Facebook: https://www.facebook.com/FairyCreekBlockade/ ...,2026-01-20 17:03:59.343133
/watch?v=J06JDsLN7E0&pp=ygULZmFpcnkgY3JlZWs%3D,/@chek_media,CHEK Media,"Fairy Creek protestors set up new logging blockade, company asking for injunction",669,4 months,"The company says the blockade is causing the company ""irreparable"" financial losses. The protestors say the proposed injunction ...",2026-01-20 17:03:59.344927
/watch?v=wxAElqAFWME&pp=ygULZmFpcnkgY3JlZWs%3D,/@CTVNews,CTV News,New documentary on Fairy Creek protest airing in Edmonton,1K,7 months,"Jen Muranetz, the director of Fairy Creek, talks about the new documentary about the 2021 protest in B.C. where protestors did ...",2026-01-20 17:03:59.347878
/watch?v=t4b7uwIEJAs&pp=ygULZmFpcnkgY3JlZWs%3D,/@CinemaPolitica,Cinema Politica,Fairy Creek (2025) | Official Trailer UHD,35K,8 months,IN THEATRES JUNE 6: Book your tickets here! https://fairycreekfilm.com/screenings A film by Jen Muranetz 2025 / 1h18m ...,2026-01-20 17:03:59.349986
/watch?v=CKsSuGMrtJ4&pp=ygULZmFpcnkgY3JlZWs%3D,/@JustInCanadaJusteauCanada,Just In Canada / Juste au Canada,Fairy Creek: Rose Henry (Grandmother Losah),620,4 years,"Fairy Creek: Rose Henry (Grandmother Losah) As supplementals to our documentary Fairy Creek: The Last Stand, we will be ...",2026-01-20 17:03:59.354265
/watch?v=fsiFlLwI-hM&pp=ygULZmFpcnkgY3JlZWs%3D,/@bcitnews9481,BCIT News,The last of the giants: the story of the Fairy Creek blockade,8.5K,4 years,"Fairy Creek land defenders say they are not against logging, just the logging of old growth. The BC government commissioned a ...",2026-01-20 17:03:59.355805
/watch?v=t26n_jzYt4Q&pp=ygULZmFpcnkgY3JlZWs%3D,/@CBCTheNational,CBC News: The National,B.C. judge ends injunction against Fairy Creek protests,51K,4 years,Protesters on Vancouver Island are celebrating a court ruling in their favour after a B.C. Supreme Court judge denied an ...,2026-01-20 17:03:59.357025
/watch?v=2FuMmyVt5c4&pp=ygULZmFpcnkgY3JlZWs%3D,/@imaviindependentmediaassoc6190,IMAVI Independent Media Association ,Rueben Gorge raw Global interview | Fairy Creek,100,4 years,"Fairy Creek Blockade Saturday May, 29th.",2026-01-20 17:03:59.358196
